"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"Q13442",16.44934,16.53447,16.77858,16.13938,16.29321,16.32993,15.79774,15.57019,15.94041,15.87415,16.27424,15.86236
"Q14011",15.85965,15.43022,16.18681,15.61775,15.51699,15.41584,15.19408,15.0811,15.35064,15.76198,15.49097,15.00959
"Q14108",17.55197,16.85798,16.90257,17.26883,17.26706,17.11239,17.40324,17.29593,17.53349,17.1245,17.20776,16.98081
"Q14166",14.45807,14.81744,13.87942,14.24881,14.27198,15.04489,14.57254,14.50542,14.35299,15.10362,14.13781,14.63827
"Q14699",14.8129644021719,14.95951,13.97474,15.42508,15.03582,14.92332,15.64507,15.44565,15.10639,15.228,15.12196,15.2116
"Q15056",18.12256,18.33575,18.44142,17.3315,18.11909,17.99097,17.79187,17.58342,18.09804,17.86182,17.80599,17.9529
"Q15057",15.36584,15.39754,15.05382,15.33311,15.25402,15.49262,15.55123,15.73805,15.56054,15.67742,15.56738,15.44788
"Q15154",15.71436,15.20016,15.84481,16.29464,15.59122,15.59499,15.22165,15.42107,15.59794,15.65621,15.52283,15.23407
"Q15437",14.36407,13.744,13.81762,14.57565,13.0274228317963,13.73928,13.87601,13.72526,13.74412,14.87961,13.94575,14.11208
"Q15642",15.4437,15.73461,15.50863,15.27087,15.85101,15.52291,15.71188,15.85148,15.82792,15.41641,15.62492,15.90681
"Q16513",16.66323,16.03131,16.17606,16.46965,16.41884,16.6108,16.83589,16.85516,16.71847,17.12605,16.835,16.80807
"Q16576",18.32411,18.42171,18.53462,18.09857,17.97588,18.01635,17.86954,17.50053,18.04781,18.24476,17.95065,18.16392
"Q16698",17.02118,17.12834,16.73591,16.42958,17.21502,17.16415,17.04245,17.33998,17.07893,16.92846,16.91361,17.08588
